Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00005744	yes	yes	yes	yes	no
MGYS00001051	no	no	no	no	no
MGYS00001001	no	yes	no	no	yes
MGYS00006040	yes	yes	yes	yes	no
MGYS00001083	yes	yes	yes	yes	no
MGYS00000934	no	yes	yes	yes	yes
MGYS00000952	yes	yes	yes	yes	yes
MGYS00001014	no	no	no	no	yes
MGYS00001048	no	yes	no	no	no
MGYS00002441	yes	yes	yes	yes	yes
MGYS00001611	no	no	no	no	no
MGYS00005502	no	no	no	no	no
MGYS00003793	no	no	no	no	no
MGYS00005297	no	no	no	yes	N/A
MGYS00003922	yes	yes	no	no	no
MGYS00000924	yes	no	yes	yes	no
MGYS00001330	no	no	no	no	no
MGYS00003853	yes	yes	yes	yes	yes
MGYS00005622	no	no	no	no	no
MGYS00005157	no	no	no	no	no
MGYS00000992	no	yes	yes	yes	yes
MGYS00003772	yes	yes	yes	yes	yes
MGYS00005521	no	no	no	no	no
MGYS00005511	no	no	no	no	no
MGYS00000951	no	no	no	no	no
MGYS00003067	no	no	no	no	no
MGYS00001038	yes	yes	yes	yes	yes
MGYS00001005	yes	yes	yes	yes	yes
MGYS00002116	no	no	no	no	no
MGYS00001161	yes	yes	yes	yes	no
MGYS00002110	no	no	no	no	no
MGYS00000971	no	no	yes	no	no
MGYS00001060	no	no	no	no	no
MGYS00001037	yes	yes	yes	yes	yes
MGYS00002303	yes	yes	yes	no	no
MGYS00005186	yes	yes	yes	yes	yes
MGYS00005315	yes	yes	yes	no	yes
MGYS00001023	no	no	no	no	yes
MGYS00003933	no	no	no	no	no
MGYS00001597	no	no	no	no	no
MGYS00001972	no	yes	no	no	yes
MGYS00000926	no	yes	yes	yes	yes
MGYS00001100	no	no	no	no	no
MGYS00005571	yes	yes	yes	yes	yes
MGYS00000945	yes	yes	no	no	yes
MGYS00001009	no	no	no	no	no
MGYS00005241	yes	no	no	no	no
MGYS00001033	yes	yes	yes	yes	no
MGYS00001035	N/A	yes	yes	yes	yes
MGYS00001158	no	no	no	no	no
MGYS00001049	no	no	yes	no	no
MGYS00003066	no	no	no	no	no
MGYS00004610	yes	no	no	no	no
MGYS00001031	no	no	no	yes	no
MGYS00001909	no	no	no	no	no
MGYS00003981	no	yes	no	no	no
MGYS00003717	no	no	no	yes	no
MGYS00001057	no	no	no	no	no
MGYS00001911	no	no	no	no	no
MGYS00003807	no	no	no	no	no
MGYS00001024	no	no	yes	yes	no
MGYS00002314	no	no	no	no	no
MGYS00000959	no	yes	no	no	no
MGYS00001027	yes	yes	yes	yes	yes
MGYS00003785	no	no	no	no	no
MGYS00001284	no	no	no	no	no
MGYS00003918	no	no	no	no	no
MGYS00001025	yes	yes	no	yes	yes
MGYS00005536	no	no	no	yes	no
MGYS00001293	yes	yes	yes	yes	yes
MGYS00002254	no	no	yes	no	no
MGYS00001026	yes	yes	yes	yes	yes
MGYS00001006	no	no	no	no	no
MGYS00001198	no	no	no	no	no
MGYS00003931	no	no	no	no	no
MGYS00005093	yes	no	no	yes	yes
MGYS00000981	no	no	yes	no	no
MGYS00002115	no	no	no	no	no
MGYS00000989	yes	no	yes	no	yes
MGYS00000936	no	no	no	no	no
MGYS00003870	no	yes	yes	no	yes
MGYS00003858	yes	yes	yes	no	yes
MGYS00003754	yes	no	no	no	no
MGYS00005572	yes	no	yes	yes	no
MGYS00003691	yes	yes	no	no	no
MGYS00001353	yes	no	no	no	yes
MGYS00000965	no	no	yes	no	no
MGYS00002190	no	no	no	no	no
MGYS00004602	yes	no	yes	yes	yes
MGYS00002429	no	no	no	no	no
MGYS00000975	yes	yes	yes	no	yes
MGYS00005185	yes	yes	yes	yes	yes
MGYS00000998	yes	yes	yes	yes	yes
MGYS00000994	no	no	no	yes	no
MGYS00000963	no	yes	no	no	no
MGYS00002018	yes	yes	yes	yes	yes
MGYS00000933	yes	no	no	no	no
MGYS00001619	no	no	no	no	no
MGYS00006001	yes	no	yes	yes	no
MGYS00005725	no	no	no	no	no
MGYS00002386	no	no	no	no	no
MGYS00000961	no	no	no	yes	no
MGYS00001606	yes	yes	yes	yes	yes
MGYS00005208	no	no	yes	no	no
MGYS00000982	no	no	no	no	no
MGYS00000929	no	no	no	yes	no
MGYS00001202	no	no	yes	no	no
MGYS00003759	yes	yes	yes	yes	yes
MGYS00002679	no	yes	yes	yes	yes
MGYS00000925	no	no	no	no	yes
MGYS00000978	yes	no	yes	yes	yes
MGYS00005096	yes	yes	yes	yes	yes
MGYS00005053	no	no	no	no	no
MGYS00005092	yes	no	yes	yes	no
MGYS00000939	no	no	no	no	no
MGYS00000947	yes	no	no	no	no
MGYS00003688	yes	yes	no	no	no
MGYS00005077	no	no	yes	yes	no
MGYS00001045	yes	yes	yes	no	yes
MGYS00003920	yes	yes	yes	yes	yes
MGYS00001039	no	yes	yes	yes	yes
MGYS00001008	no	no	no	no	no
MGYS00005078	yes	yes	no	no	yes
MGYS00003786	no	no	no	no	no
MGYS00005313	yes	no	no	yes	no
MGYS00005091	no	yes	yes	no	yes
MGYS00002054	no	yes	yes	yes	yes
MGYS00000935	yes	no	no	yes	yes
MGYS00001627	yes	no	no	no	no
MGYS00001042	no	no	no	no	no
MGYS00000923	yes	no	no	yes	no
MGYS00001065	yes	no	no	yes	no
MGYS00005624	no	no	no	no	no
MGYS00005243	no	no	no	no	no
MGYS00000977	no	no	no	no	no
MGYS00001762	no	no	no	no	yes
MGYS00002048	no	yes	no	no	yes
MGYS00006118	no	no	no	no	no
