Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00004541	no	no	no	no	no
MGYS00003812	no	no	no	no	no
MGYS00000988	yes	no	yes	yes	yes
MGYS00001192	no	no	yes	yes	yes
MGYS00001061	no	no	no	yes	no
MGYS00001036	yes	yes	no	yes	yes
MGYS00001098	yes	no	yes	no	no
MGYS00003727	no	N/A	no	no	no
MGYS00001032	no	no	no	no	no
MGYS00006044	no	no	no	no	no
MGYS00006087	yes	no	yes	yes	yes
MGYS00003912	no	yes	yes	no	yes
MGYS00000950	no	no	no	no	no
MGYS00001328	no	no	no	no	no
MGYS00001017	no	yes	N/A	no	yes
MGYS00001004	no	no	no	no	no
MGYS00005205	no	yes	yes	yes	yes
MGYS00005993	no	no	no	no	no
MGYS00001054	no	no	no	yes	no
MGYS00003813	no	no	no	no	no
MGYS00001356	no	no	no	no	yes
MGYS00005819	no	no	no	no	no
MGYS00001044	no	no	N/A	no	yes
MGYS00005522	yes	yes	yes	yes	yes
MGYS00000922	yes	no	yes	no	yes
MGYS00001447	no	no	no	no	no
MGYS00002700	no	no	no	no	no
MGYS00001022	no	no	no	no	no
MGYS00000954	no	N/A	no	no	no
MGYS00001352	yes	yes	yes	yes	no
MGYS00000944	no	yes	yes	N/A	yes
MGYS00003919	yes	no	yes	yes	yes
MGYS00002715	no	no	no	no	yes
MGYS00004546	no	no	yes	yes	no
MGYS00004382	no	no	no	no	no
MGYS00001028	yes	yes	yes	yes	yes
MGYS00004491	yes	yes	no	yes	no
MGYS00001169	yes	yes	yes	yes	yes
MGYS00002053	yes	yes	yes	no	yes
MGYS00003916	no	no	no	yes	no
MGYS00005744	yes	yes	yes	N/A	yes
MGYS00001051	no	no	no	no	no
MGYS00001001	N/A	no	no	no	no
MGYS00006040	no	no	no	N/A	no
MGYS00001083	no	N/A	no	no	no
MGYS00000934	no	yes	no	no	no
MGYS00000952	no	no	yes	yes	no
MGYS00001014	no	yes	yes	yes	yes
MGYS00001048	no	no	no	no	no
MGYS00002441	yes	yes	yes	yes	yes
MGYS00001611	no	no	no	no	no
MGYS00005502	no	no	yes	yes	yes
MGYS00003793	no	no	yes	yes	yes
MGYS00005297	yes	yes	yes	no	no
MGYS00003922	no	yes	N/A	yes	yes
MGYS00000924	no	N/A	no	yes	no
MGYS00001330	no	no	no	no	no
MGYS00003853	yes	yes	yes	yes	yes
MGYS00005622	no	no	no	no	no
MGYS00005157	no	no	no	no	no
MGYS00000992	N/A	no	N/A	yes	yes
MGYS00003772	yes	yes	yes	yes	yes
MGYS00005521	no	no	no	no	no
MGYS00005511	no	no	no	N/A	no
MGYS00000951	no	no	no	no	no
MGYS00003067	no	no	no	no	no
MGYS00001038	yes	yes	yes	yes	yes
MGYS00001005	yes	N/A	yes	yes	yes
MGYS00002116	no	no	no	no	no
MGYS00001161	yes	no	yes	no	no
MGYS00002110	no	no	no	no	no
MGYS00000971	no	no	no	no	no
MGYS00001060	no	no	no	no	no
MGYS00001037	no	no	no	no	yes
MGYS00002303	no	no	no	no	no
MGYS00005186	yes	yes	yes	yes	yes
MGYS00005315	no	yes	yes	yes	yes
MGYS00001023	no	no	no	no	no
MGYS00003933	no	no	no	no	no
MGYS00001597	no	no	no	no	N/A
MGYS00001972	yes	no	yes	yes	yes
MGYS00000926	yes	no	yes	no	yes
MGYS00001100	no	no	no	no	no
MGYS00005571	yes	yes	yes	yes	no
MGYS00000945	yes	no	yes	no	N/A
MGYS00001009	no	no	no	no	no
MGYS00005241	yes	no	yes	yes	yes
MGYS00001033	yes	yes	yes	yes	yes
MGYS00001035	yes	yes	yes	yes	yes
MGYS00001158	no	no	no	no	no
MGYS00001049	no	no	N/A	no	no
MGYS00003066	no	no	no	no	no
MGYS00004610	no	no	no	no	no
MGYS00001031	no	no	no	no	no
MGYS00001909	no	no	no	no	no
MGYS00003981	no	no	no	yes	no
MGYS00003717	no	N/A	no	no	no
MGYS00001057	no	no	no	no	no
MGYS00001911	no	no	no	no	no
MGYS00003807	no	no	no	no	no
MGYS00001024	no	no	no	no	no
MGYS00002314	yes	no	no	no	no
MGYS00000959	no	no	no	no	no
MGYS00001027	yes	yes	yes	yes	yes
MGYS00003785	no	no	no	no	no
MGYS00001284	no	no	no	no	no
MGYS00003918	no	no	yes	no	no
MGYS00001025	yes	no	no	yes	no
MGYS00005536	no	no	no	no	no
MGYS00001293	yes	N/A	no	yes	no
MGYS00002254	no	no	no	no	no
MGYS00001026	yes	yes	yes	yes	yes
MGYS00001006	no	no	no	no	yes
MGYS00001198	no	no	yes	no	no
MGYS00003931	no	no	no	no	no
MGYS00005093	no	no	no	no	no
MGYS00000981	no	no	no	no	no
MGYS00002115	yes	no	yes	yes	yes
MGYS00000989	yes	yes	yes	yes	yes
MGYS00000936	no	no	no	no	no
MGYS00003870	yes	yes	yes	yes	yes
MGYS00003858	yes	yes	yes	yes	yes
MGYS00003754	no	no	no	no	yes
MGYS00005572	no	no	no	yes	yes
MGYS00003691	no	no	no	no	no
MGYS00001353	no	no	yes	yes	yes
MGYS00000965	yes	yes	yes	yes	no
MGYS00002190	no	no	yes	no	no
MGYS00004602	no	no	no	no	no
MGYS00002429	no	N/A	no	no	no
MGYS00000975	no	no	no	no	no
MGYS00005185	yes	yes	yes	yes	yes
MGYS00000998	yes	no	yes	no	yes
MGYS00000994	yes	yes	yes	no	yes
MGYS00000963	yes	no	yes	yes	no
MGYS00002018	yes	yes	yes	yes	yes
MGYS00000933	yes	yes	no	no	yes
MGYS00001619	no	N/A	no	no	no
MGYS00006001	no	no	no	N/A	no
MGYS00005725	no	N/A	no	no	no
MGYS00002386	no	no	no	no	no
MGYS00000961	no	no	no	no	no
MGYS00001606	yes	yes	yes	no	no
MGYS00005208	no	no	yes	no	yes
MGYS00000982	no	no	no	yes	no
MGYS00000929	no	no	yes	yes	yes
MGYS00001202	yes	no	no	yes	no
MGYS00003759	yes	yes	yes	yes	yes
MGYS00002679	no	no	yes	yes	N/A
MGYS00000925	yes	yes	yes	no	yes
MGYS00000978	no	no	no	no	no
MGYS00005096	N/A	no	yes	no	no
MGYS00005053	no	no	no	no	no
MGYS00005092	no	no	N/A	yes	no
MGYS00000939	no	no	no	no	no
MGYS00000947	no	no	no	no	no
MGYS00003688	no	no	no	no	no
MGYS00005077	no	no	no	no	no
MGYS00001045	no	no	no	no	no
MGYS00003920	yes	no	no	yes	no
MGYS00001039	no	no	no	no	no
MGYS00001008	no	no	no	no	no
MGYS00005078	no	no	yes	no	no
MGYS00003786	no	no	no	no	no
MGYS00005313	no	no	yes	yes	yes
MGYS00005091	no	no	no	no	no
MGYS00002054	yes	yes	yes	yes	yes
MGYS00000935	yes	yes	yes	yes	yes
MGYS00001627	yes	no	no	no	no
MGYS00001042	N/A	no	no	no	no
MGYS00000923	no	no	no	no	yes
MGYS00001065	no	no	no	yes	yes
MGYS00005624	no	no	no	no	no
MGYS00005243	no	no	no	no	no
MGYS00000977	no	yes	no	no	yes
MGYS00001762	yes	no	yes	no	yes
MGYS00002048	no	no	no	no	no
MGYS00006118	no	no	no	yes	no
