Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00003785	no	no	no	no	no
MGYS00001284	no	no	no	no	no
MGYS00003918	no	no	no	no	no
MGYS00001025	no	no	yes	no	no
MGYS00005536	no	no	no	no	yes
MGYS00001293	no	no	no	no	no
MGYS00002254	no	no	no	no	no
MGYS00001026	yes	yes	yes	yes	yes
MGYS00001006	no	no	no	no	no
MGYS00001198	no	no	no	no	no
MGYS00003931	no	no	no	no	no
MGYS00005093	no	no	no	no	no
MGYS00000981	no	no	no	no	no
MGYS00002115	yes	yes	yes	yes	no
MGYS00000989	yes	no	no	no	no
MGYS00000936	no	no	no	no	no
MGYS00003870	yes	no	no	no	yes
MGYS00003858	yes	yes	yes	yes	yes
MGYS00003754	no	no	no	no	no
MGYS00005572	no	yes	no	no	yes
MGYS00003691	no	no	no	no	no
MGYS00001353	yes	yes	no	yes	yes
MGYS00000965	no	yes	yes	no	yes
MGYS00002190	no	no	no	no	no
MGYS00004602	no	no	no	no	no
MGYS00002429	no	no	no	no	no
MGYS00000975	no	no	no	no	no
MGYS00005185	yes	yes	no	no	no
MGYS00000998	no	no	no	no	no
MGYS00000994	no	yes	yes	no	no
MGYS00000963	no	no	no	no	no
MGYS00002018	no	yes	yes	yes	yes
MGYS00000933	no	no	no	no	no
MGYS00001619	no	no	no	no	no
MGYS00006001	no	no	no	no	no
MGYS00005725	no	no	no	no	no
MGYS00002386	no	no	no	no	no
MGYS00000961	no	no	no	no	no
MGYS00001606	yes	yes	yes	yes	yes
MGYS00005208	no	no	no	no	no
MGYS00000982	no	no	no	no	no
MGYS00000929	no	yes	no	no	no
MGYS00001202	no	no	no	no	no
MGYS00003759	yes	yes	yes	yes	yes
MGYS00002679	yes	no	yes	yes	no
MGYS00000925	no	no	no	no	no
MGYS00000978	no	no	no	no	no
MGYS00005096	no	no	no	no	no
MGYS00005053	no	no	no	no	no
MGYS00005092	no	no	no	no	no
MGYS00000939	no	no	no	no	no
MGYS00000947	no	no	no	no	no
MGYS00003688	no	no	no	no	no
MGYS00005077	no	no	no	no	no
MGYS00001045	no	no	no	no	no
MGYS00003920	no	no	no	yes	no
MGYS00001039	no	no	no	no	no
MGYS00001008	no	no	no	no	no
MGYS00005078	no	no	no	no	no
MGYS00003786	no	no	no	no	no
MGYS00005313	no	no	no	yes	no
MGYS00005091	no	no	no	no	no
MGYS00002054	yes	no	no	no	yes
MGYS00000935	yes	yes	yes	yes	yes
MGYS00001627	no	no	no	no	no
MGYS00001042	no	no	no	no	no
MGYS00000923	no	no	no	no	no
MGYS00001065	no	no	no	no	no
MGYS00005624	no	no	no	no	no
MGYS00005243	no	no	no	no	no
MGYS00000977	yes	no	no	no	yes
MGYS00001762	no	no	no	no	no
MGYS00002048	no	no	no	no	no
MGYS00006118	no	no	no	no	no
MGYS00003961	no	no	no	no	no
MGYS00004180	no	no	no	no	no
MGYS00005709	no	no	no	no	no
MGYS00004445	no	no	no	no	no
MGYS00003655	no	no	no	no	no
MGYS00004644	yes	yes	no	yes	no
MGYS00004875	no	no	no	no	no
MGYS00004192	no	no	no	no	no
MGYS00004879	no	no	no	no	no
MGYS00004464	no	no	no	no	no
MGYS00004676	no	no	no	no	no
MGYS00004153	no	no	no	no	no
MGYS00004864	no	no	no	no	no
MGYS00004272	no	no	no	no	no
MGYS00004503	no	no	no	no	no
MGYS00004847	no	no	no	no	no
MGYS00004862	no	no	no	no	no
MGYS00004599	no	no	no	no	no
MGYS00005941	no	no	no	no	no
MGYS00004884	no	no	no	no	yes
MGYS00004391	no	no	no	no	no
MGYS00004409	yes	no	yes	no	no
MGYS00006213	no	no	no	no	no
MGYS00004672	no	no	no	no	no
MGYS00004100	no	no	yes	no	yes
MGYS00005715	no	yes	no	yes	no
MGYS00004348	yes	no	no	no	no
MGYS00004738	no	no	no	no	no
MGYS00004475	no	no	no	no	no
MGYS00004331	no	no	no	no	no
MGYS00005032	no	no	no	no	no
MGYS00005022	no	no	no	no	no
MGYS00005136	no	no	no	no	no
MGYS00005052	no	no	no	no	no
MGYS00004390	no	no	no	no	no
MGYS00004436	no	no	no	no	no
MGYS00004772	no	no	no	no	no
MGYS00004149	no	no	no	no	no
MGYS00004127	no	no	no	no	no
MGYS00004671	no	yes	no	no	yes
MGYS00005704	no	no	no	no	no
MGYS00004401	no	no	no	no	no
MGYS00004252	yes	yes	yes	yes	yes
MGYS00005097	no	no	no	no	no
MGYS00004735	no	no	no	no	no
MGYS00004105	no	no	no	no	no
MGYS00004608	no	no	no	no	no
MGYS00003656	no	no	no	no	no
MGYS00004626	no	no	no	no	no
MGYS00004643	no	no	no	no	no
MGYS00004246	no	no	no	no	no
MGYS00004074	no	no	no	no	no
MGYS00004449	no	no	no	no	no
MGYS00003941	yes	yes	yes	no	no
MGYS00004532	no	no	no	no	no
MGYS00004047	no	no	no	no	no
MGYS00004064	yes	yes	yes	yes	yes
MGYS00004177	no	no	no	no	yes
MGYS00004112	no	no	no	no	no
MGYS00003985	yes	yes	yes	yes	yes
MGYS00004502	no	no	no	yes	no
MGYS00004432	yes	no	no	no	yes
MGYS00005953	no	no	no	no	no
MGYS00005842	no	no	no	no	no
MGYS00004542	no	no	no	no	no
MGYS00005295	no	no	no	no	no
MGYS00004889	no	no	no	no	no
MGYS00004418	no	yes	no	yes	no
MGYS00004456	no	no	no	no	no
MGYS00003635	no	no	no	no	no
MGYS00004292	yes	no	no	no	no
MGYS00004553	no	no	no	no	no
MGYS00004466	yes	no	yes	yes	yes
MGYS00005722	no	no	no	no	no
MGYS00004099	no	no	no	yes	no
MGYS00004388	no	yes	no	no	no
MGYS00004140	no	no	no	no	no
MGYS00004638	yes	yes	yes	no	no
MGYS00004592	yes	no	yes	yes	no
MGYS00004345	no	yes	no	no	no
MGYS00005581	yes	yes	yes	no	yes
MGYS00004307	no	no	no	no	no
MGYS00004318	no	no	yes	no	no
MGYS00004877	no	no	no	no	no
MGYS00005924	no	no	no	no	no
MGYS00004408	no	no	no	no	no
MGYS00004446	no	no	no	no	no
MGYS00004233	no	no	no	no	no
MGYS00004393	no	no	no	no	no
MGYS00004327	no	no	no	no	no
MGYS00004059	no	no	no	no	no
MGYS00004136	no	no	no	no	no
MGYS00005939	no	no	no	no	no
MGYS00004352	yes	yes	yes	yes	no
MGYS00003718	no	no	no	no	no
MGYS00005634	no	no	no	no	no
MGYS00004381	no	no	no	no	no
MGYS00004285	yes	no	no	no	yes
MGYS00003988	yes	yes	yes	yes	yes
MGYS00004858	no	yes	yes	no	no
MGYS00004392	no	no	no	no	yes
MGYS00004207	no	no	no	no	no
MGYS00003613	no	no	no	no	no
MGYS00004168	no	yes	no	yes	no
MGYS00004559	no	no	no	no	no
MGYS00005404	no	no	no	no	no
MGYS00004015	no	no	no	no	no
MGYS00003750	no	no	no	no	no
MGYS00004151	no	no	no	no	no
MGYS00004459	no	no	no	no	no
MGYS00004374	no	no	no	no	no
MGYS00004312	no	no	no	no	yes
MGYS00004155	no	no	no	no	no
MGYS00003687	no	no	no	no	no
MGYS00004439	no	no	no	no	no
MGYS00005687	no	no	no	no	no
MGYS00005653	no	no	no	no	no
MGYS00004277	no	no	no	no	no
MGYS00004500	no	no	no	no	no
MGYS00004857	no	no	no	no	no
MGYS00004086	no	yes	no	no	yes
MGYS00004519	yes	yes	yes	yes	yes
MGYS00005123	no	no	no	no	no
MGYS00004454	no	no	no	no	no
MGYS00004196	no	no	no	no	no
MGYS00005669	no	no	no	no	no
MGYS00004441	yes	yes	no	yes	yes
MGYS00004420	no	no	no	no	no
MGYS00004508	no	no	no	no	no
MGYS00005575	no	no	no	no	no
MGYS00005510	no	no	no	no	no
MGYS00005968	no	no	no	no	no
MGYS00004152	no	no	no	no	no
MGYS00003864	no	no	no	no	no
MGYS00004485	no	no	no	no	yes
MGYS00004490	no	no	no	no	yes
MGYS00004457	no	no	no	no	no
MGYS00004394	no	no	no	no	no
MGYS00004042	no	no	no	no	no
MGYS00005720	no	no	no	no	no
MGYS00004084	no	yes	yes	yes	no
MGYS00005869	no	no	no	no	no
MGYS00003641	no	no	no	no	no
MGYS00006072	no	no	no	no	no
MGYS00004181	no	no	no	no	no
MGYS00005075	no	no	no	no	yes
MGYS00004051	no	no	no	no	no
MGYS00004179	no	yes	no	no	no
MGYS00004616	no	no	no	yes	no
MGYS00004716	no	no	no	no	no
MGYS00005141	no	no	no	no	no
MGYS00004513	yes	yes	yes	yes	yes
MGYS00005300	no	no	no	no	no
MGYS00004624	no	no	no	no	no
MGYS00004306	no	yes	no	no	no
MGYS00005829	no	no	no	no	no
MGYS00004154	no	no	no	no	no
MGYS00004365	no	no	no	no	no
MGYS00003654	no	no	no	no	no
MGYS00005961	no	no	no	no	no
MGYS00004267	no	no	no	no	no
MGYS00004674	no	no	no	no	no
MGYS00004128	no	no	no	no	no
MGYS00003603	yes	no	no	no	yes
MGYS00004227	no	no	no	no	no
MGYS00004195	no	no	no	no	no
MGYS00004534	no	no	no	no	no
MGYS00004130	no	no	no	no	no
MGYS00004023	yes	no	no	no	no
MGYS00003999	no	no	no	no	no
MGYS00005714	no	no	no	no	no
MGYS00005200	no	no	no	no	no
MGYS00004476	no	no	no	no	no
MGYS00004510	no	no	no	no	yes
MGYS00004982	no	no	no	no	no
MGYS00003726	no	no	no	no	no
MGYS00003867	no	no	no	no	no
MGYS00004322	yes	no	no	no	no
MGYS00004631	no	no	no	no	no
MGYS00004517	no	no	no	no	no
MGYS00005245	no	no	no	no	no
MGYS00004175	no	no	no	no	no
MGYS00004422	no	no	no	no	no
MGYS00005640	no	no	no	no	no
MGYS00004840	no	no	no	no	no
MGYS00004609	no	no	no	no	yes
MGYS00004664	no	no	no	no	no
MGYS00003990	no	no	no	no	no
MGYS00004660	no	no	no	yes	no
MGYS00004871	no	no	no	no	no
MGYS00004434	no	no	no	no	no
MGYS00004361	no	no	no	no	no
MGYS00004467	no	no	no	no	no
MGYS00004552	no	no	no	no	no
MGYS00003996	no	no	no	no	no
MGYS00005405	no	no	no	no	no
MGYS00004038	no	no	no	no	no
MGYS00003640	no	no	no	no	no
MGYS00004367	no	no	no	no	no
MGYS00004442	no	no	no	no	no
MGYS00004194	no	no	no	no	no
MGYS00004238	yes	no	no	no	no
MGYS00004636	no	no	no	no	no
MGYS00004286	yes	no	no	no	no
MGYS00005494	no	no	no	no	no
MGYS00005931	no	no	no	no	no
MGYS00005665	no	no	no	no	no
MGYS00004846	no	no	no	no	no
MGYS00005949	no	no	no	no	no
MGYS00004524	no	no	no	no	no
MGYS00004209	no	no	no	no	no
MGYS00004574	yes	yes	yes	yes	yes
MGYS00005835	no	no	no	no	no
MGYS00004353	no	no	no	no	no
MGYS00004036	no	no	no	no	no
MGYS00004244	yes	yes	yes	no	no
MGYS00004419	no	no	yes	no	no
MGYS00004076	yes	yes	yes	yes	yes
MGYS00004173	no	no	no	no	no
MGYS00004561	no	no	no	no	no
MGYS00005856	no	no	no	no	no
MGYS00004433	no	no	no	no	no
MGYS00004425	no	no	no	no	no
MGYS00004890	no	no	no	no	no
MGYS00004364	yes	yes	yes	yes	yes
MGYS00004656	no	no	no	no	no
MGYS00004218	no	no	no	no	no
MGYS00005688	no	no	no	no	no
MGYS00004856	no	no	no	no	no
MGYS00005318	no	no	no	no	yes
MGYS00004859	yes	no	no	no	yes
MGYS00004057	yes	yes	yes	yes	yes
MGYS00005865	no	no	no	no	no
MGYS00005713	no	no	no	no	no
MGYS00005644	yes	no	no	no	no
MGYS00004031	no	no	no	no	no
MGYS00004150	no	no	no	no	no
MGYS00004584	no	no	no	no	no
MGYS00004577	no	no	no	no	no
MGYS00004544	yes	yes	no	no	yes
MGYS00005580	no	no	no	no	no
MGYS00005148	no	no	no	no	no
MGYS00005413	no	no	no	no	no
MGYS00004018	no	no	no	no	no
MGYS00004773	no	no	no	no	no
MGYS00003994	no	no	no	no	no
MGYS00004628	no	no	no	no	no
MGYS00004241	no	no	no	no	no
MGYS00004025	no	no	no	no	no
MGYS00004504	no	no	no	no	yes
MGYS00006061	no	yes	no	no	no
MGYS00004658	no	no	no	no	no
MGYS00005832	yes	yes	yes	yes	yes
MGYS00004531	no	no	no	no	no
MGYS00004229	no	no	no	no	no
MGYS00004006	no	no	no	no	no
MGYS00003699	no	no	no	no	no
MGYS00004334	no	no	yes	no	no
MGYS00004360	no	no	no	no	no
MGYS00005636	no	no	no	no	no
MGYS00004505	no	no	no	no	no
MGYS00005175	yes	yes	no	yes	yes
MGYS00004185	no	no	no	no	no
MGYS00004575	yes	yes	yes	yes	yes
MGYS00004326	no	no	no	no	no
MGYS00004368	no	no	no	no	no
MGYS00004216	no	no	no	no	no
MGYS00005045	no	no	no	no	no
MGYS00005530	yes	yes	yes	yes	no
MGYS00005947	no	no	no	no	no
MGYS00004647	no	no	no	no	no
MGYS00005851	no	no	no	no	yes
MGYS00004435	no	no	no	no	no
MGYS00004236	no	no	no	no	no
MGYS00004228	yes	yes	yes	yes	yes
MGYS00004257	no	no	no	no	no
MGYS00004182	no	no	no	no	no
MGYS00004314	no	no	no	no	no
MGYS00004107	no	no	no	no	no
MGYS00004642	no	no	no	no	no
MGYS00004032	no	no	no	no	no
MGYS00004410	no	no	no	no	no
MGYS00005417	no	no	no	no	no
MGYS00005989	no	no	no	no	no
MGYS00005110	no	no	no	no	no
MGYS00005988	no	no	no	no	no
MGYS00004372	no	no	no	no	no
MGYS00004874	no	no	no	no	no
MGYS00004576	no	no	no	no	no
MGYS00005367	no	no	no	no	no
MGYS00004370	no	no	no	yes	no
MGYS00004428	no	no	no	no	no
MGYS00004670	no	no	no	no	no
MGYS00004396	no	yes	yes	no	no
MGYS00004540	no	no	no	no	no
MGYS00004477	no	no	no	no	no
MGYS00004865	no	no	no	no	no
MGYS00005945	yes	no	no	no	no
MGYS00004839	no	no	no	no	no
MGYS00004375	no	no	yes	no	no
MGYS00004165	no	no	no	no	no
MGYS00004611	no	no	no	no	no
MGYS00004065	no	no	no	no	no
MGYS00004276	no	no	no	no	no
MGYS00004443	yes	no	yes	no	yes
MGYS00004569	no	no	no	no	no
MGYS00004851	no	no	no	no	no
MGYS00004462	no	yes	yes	no	no
MGYS00005777	no	no	no	no	no
MGYS00005024	no	no	no	no	no
MGYS00004093	no	no	no	no	no
MGYS00004137	yes	yes	no	yes	yes
MGYS00004385	no	yes	no	no	no
MGYS00004614	no	no	no	no	no
MGYS00005773	no	no	no	no	no
MGYS00004687	no	no	no	no	no
MGYS00004302	no	no	no	no	no
MGYS00004133	no	no	no	no	no
MGYS00003866	yes	no	no	no	no
MGYS00004415	no	no	no	no	no
MGYS00005675	no	no	no	no	no
MGYS00004095	no	no	yes	no	yes
MGYS00004843	no	no	no	no	no
MGYS00004568	no	no	no	no	no
MGYS00004214	no	no	no	no	no
MGYS00004567	no	no	no	no	no
MGYS00004249	no	no	no	no	no
MGYS00004405	no	no	no	no	no
MGYS00004844	yes	yes	no	no	no
MGYS00005420	no	no	no	no	no
MGYS00004351	no	no	no	no	no
MGYS00004250	no	no	no	no	no
MGYS00004860	no	no	yes	no	no
MGYS00004416	no	no	yes	yes	no
MGYS00005666	no	no	no	no	no
MGYS00004203	no	no	no	no	no
MGYS00004651	no	no	no	yes	no
MGYS00004648	no	no	no	no	no
MGYS00005654	no	no	no	no	no
MGYS00004580	no	no	no	no	no
MGYS00004440	no	no	no	no	no
MGYS00004868	yes	no	no	no	no
MGYS00005054	no	no	no	no	no
MGYS00004573	no	no	no	no	no
MGYS00006039	no	no	no	no	no
MGYS00004090	no	no	no	yes	no
MGYS00003863	no	yes	yes	no	no
MGYS00004880	no	no	no	no	no
MGYS00004400	no	no	no	no	no
MGYS00004565	yes	no	yes	no	no
MGYS00004550	no	no	no	no	no
MGYS00004654	no	no	no	no	no
MGYS00004131	no	no	no	no	no
MGYS00005705	no	no	no	no	yes
MGYS00004645	no	no	no	no	no
MGYS00004402	no	no	no	no	no
MGYS00003806	no	no	yes	no	no
MGYS00004044	yes	no	no	no	no
MGYS00003725	yes	yes	yes	yes	yes
MGYS00004852	no	no	no	no	no
MGYS00004562	no	no	no	no	yes
MGYS00005716	no	no	no	no	no
MGYS00004139	yes	yes	yes	yes	yes
MGYS00004555	no	no	no	no	no
MGYS00005439	no	no	no	no	no
MGYS00004002	no	no	no	no	no
MGYS00004123	no	yes	no	no	no
MGYS00004627	no	no	no	no	no
MGYS00004619	no	no	no	no	no
MGYS00004156	no	no	no	no	no
MGYS00004518	no	no	no	no	no
MGYS00004480	no	no	no	no	no
MGYS00004206	no	no	no	no	no
MGYS00004167	no	no	no	no	no
MGYS00004430	no	no	no	no	no
MGYS00004163	no	no	no	no	no
MGYS00004530	no	no	no	no	no
MGYS00004488	no	yes	yes	yes	yes
MGYS00003638	no	no	no	no	no
MGYS00005957	no	no	no	no	no
MGYS00005673	no	no	no	no	no
MGYS00005265	no	yes	yes	no	no
MGYS00003810	no	yes	no	no	no
MGYS00004190	no	no	no	no	no
MGYS00004226	no	no	no	no	no
MGYS00004495	no	no	no	no	no
MGYS00005027	no	no	no	no	no
MGYS00004242	yes	yes	yes	yes	yes
MGYS00004713	no	no	no	no	no
MGYS00004549	no	no	no	no	no
MGYS00004293	yes	no	no	no	no
MGYS00004120	no	no	no	no	yes
MGYS00005403	no	no	no	no	no
MGYS00004617	no	no	no	no	no
MGYS00005780	no	no	no	no	no
MGYS00004363	no	no	no	no	no
MGYS00004463	no	no	no	no	no
MGYS00004709	no	no	no	no	no
MGYS00004328	no	no	no	no	no
MGYS00004117	no	no	no	no	no
MGYS00004853	no	no	no	no	no
MGYS00004354	no	no	no	no	no
MGYS00004397	no	no	no	no	no
MGYS00004164	yes	yes	yes	no	yes
MGYS00004606	no	no	no	no	no
MGYS00004349	no	no	no	no	no
MGYS00005859	no	yes	yes	yes	no
MGYS00004174	yes	yes	no	no	yes
MGYS00005632	no	no	no	no	no
MGYS00005695	no	no	no	no	no
MGYS00004129	no	no	no	no	no
MGYS00004213	no	no	no	no	no
MGYS00004732	no	no	no	no	no
MGYS00004841	no	no	no	no	no
MGYS00004528	yes	no	yes	yes	no
MGYS00004681	no	no	no	no	no
MGYS00004629	no	no	no	no	no
MGYS00004091	yes	no	no	no	no
MGYS00004481	no	no	no	no	no
MGYS00003616	no	no	no	no	no
MGYS00004029	no	no	no	no	no
MGYS00004220	no	no	no	no	no
MGYS00004604	no	no	no	no	no
MGYS00004570	no	no	no	no	no
MGYS00005000	no	no	no	no	no
MGYS00003633	no	no	no	no	no
MGYS00004478	no	no	no	no	no
MGYS00004260	no	no	no	no	no
MGYS00004052	no	no	no	no	no
MGYS00003989	no	no	yes	yes	no
MGYS00005964	no	no	no	no	no
MGYS00003631	no	no	no	no	no
MGYS00004668	no	no	no	no	no
MGYS00004389	no	no	no	no	no
MGYS00004613	no	no	no	no	no
MGYS00004625	no	no	no	no	no
MGYS00004845	no	no	no	no	no
MGYS00005710	yes	no	no	no	no
MGYS00004506	no	no	no	no	no
MGYS00004634	no	no	no	yes	yes
MGYS00004081	yes	yes	yes	yes	yes
MGYS00004678	yes	no	no	no	no
MGYS00004696	no	yes	no	no	no
MGYS00004055	no	no	no	no	no
MGYS00005337	no	no	no	no	no
MGYS00004169	no	no	no	no	no
MGYS00005629	yes	yes	yes	yes	yes
MGYS00004486	no	no	no	no	no
MGYS00004612	no	no	no	no	no
MGYS00003611	no	no	yes	no	no
MGYS00004412	no	no	no	no	no
MGYS00005312	no	no	no	no	no
MGYS00004529	no	no	no	no	no
MGYS00004217	no	no	no	no	no
MGYS00004116	no	no	no	no	no
MGYS00004582	no	no	no	no	no
MGYS00004665	no	no	no	no	no
MGYS00005250	no	no	no	no	no
MGYS00004071	no	no	no	no	no
MGYS00004261	no	no	yes	no	yes
MGYS00004010	no	no	no	no	no
MGYS00004621	no	no	no	no	no
MGYS00004278	no	no	no	no	no
MGYS00006028	yes	yes	no	no	no
MGYS00004053	no	no	no	no	no
MGYS00004849	no	no	no	no	no
MGYS00004202	no	no	no	no	no
MGYS00004641	no	no	no	no	no
MGYS00004589	no	no	no	no	no
MGYS00005935	no	no	no	no	no
MGYS00005487	no	no	no	no	no
MGYS00004211	yes	no	yes	yes	yes
MGYS00004842	no	no	no	no	no
MGYS00004310	no	no	no	no	no
MGYS00005734	yes	no	no	yes	no
MGYS00004377	yes	no	no	no	yes
MGYS00004315	no	no	no	no	no
MGYS00004324	no	yes	no	yes	yes
MGYS00004455	no	no	no	no	no
MGYS00004623	no	no	no	no	no
MGYS00006035	no	no	no	no	no
MGYS00004189	no	no	no	no	no
MGYS00004323	no	no	no	no	no
MGYS00004892	no	no	no	no	no
MGYS00005717	no	no	no	no	yes
MGYS00004148	no	no	no	no	no
MGYS00004563	no	no	no	no	no
MGYS00003602	no	no	no	no	no
MGYS00004376	no	no	no	no	no
MGYS00004444	no	no	no	no	no
MGYS00004193	no	no	no	no	no
MGYS00004199	yes	yes	yes	yes	yes
MGYS00004144	no	no	no	no	no
MGYS00005696	no	yes	yes	yes	no
MGYS00004078	no	yes	yes	no	no
MGYS00004560	no	no	no	no	no
MGYS00004171	no	no	no	no	no
MGYS00004702	no	no	no	no	no
MGYS00004205	no	no	no	yes	no
MGYS00005981	no	no	no	no	no
MGYS00004069	no	no	no	no	no
MGYS00004460	no	no	no	no	no
MGYS00003993	no	no	no	no	no
MGYS00004073	no	no	no	no	no
MGYS00004630	no	no	no	no	no
MGYS00005396	no	no	no	no	no
MGYS00003946	no	no	no	no	no
MGYS00004883	no	no	no	no	no
MGYS00005646	no	no	no	no	no
MGYS00004208	no	no	no	no	no
