Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5	final_answer(3)	final_answer(4)	final_answer(5)
MGYS00001426	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001062	no	no	no	no	no	no	no	no
MGYS00001011	no	no	no	no	no	no	no	no
MGYS00001599	no	no	no	no	no	no	no	no
MGYS00005171	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001050	yes	yes	no	no	no	no	no	no
MGYS00001207	yes	no	yes	no	no	no	no	no
MGYS00005040	yes	yes	yes	no	yes	yes	yes	no
MGYS00000948	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001331	yes	yes	yes	no	yes	yes	yes	no
MGYS00003915	no	yes	yes	no	no	no	no	no
MGYS00000966	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004688	yes	no	no	no	no	no	no	no
MGYS00000953	yes	N/A	no	yes	no	no	no	no
MGYS00002294	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001034	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000956	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002032	no	yes	no	no	no	no	no	no
MGYS00004541	no	yes	yes	no	yes	yes	no	no
MGYS00003812	no	no	yes	no	no	no	no	no
MGYS00000988	no	yes	no	yes	no	no	no	no
MGYS00001192	yes	no	no	yes	yes	yes	no	no
MGYS00001061	no	yes	yes	no	yes	yes	no	no
MGYS00001036	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001098	yes	no	no	no	no	no	no	no
MGYS00003727	no	yes	no	no	no	no	no	no
MGYS00001032	yes	yes	yes	no	yes	yes	yes	no
MGYS00006044	no	no	no	no	no	no	no	no
MGYS00006087	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003912	yes	yes	yes	yes	no	yes	yes	no
MGYS00000950	no	no	yes	yes	yes	yes	no	no
MGYS00001328	no	no	no	yes	no	no	no	no
MGYS00001017	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001004	yes	no	yes	no	yes	yes	no	no
MGYS00005205	yes	yes	yes	yes	no	yes	yes	no
MGYS00005993	no	no	no	no	no	no	no	no
MGYS00001054	no	no	no	no	no	no	no	no
MGYS00003813	no	no	yes	yes	no	no	no	no
MGYS00001356	yes	no	yes	no	yes	yes	no	no
MGYS00005819	no	no	yes	no	yes	no	no	no
MGYS00001044	no	yes	no	yes	no	no	no	no
MGYS00005522	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000922	yes	yes	no	no	yes	yes	no	no
MGYS00001447	yes	no	yes	no	no	no	no	no
MGYS00002700	yes	no	yes	no	no	no	no	no
MGYS00001022	yes	yes	no	yes	yes	yes	yes	no
MGYS00000954	no	yes	yes	yes	no	yes	no	no
MGYS00001352	yes	yes	yes	no	yes	yes	yes	no
MGYS00000944	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003919	no	yes	yes	no	no	no	no	no
MGYS00002715	no	yes	yes	yes	yes	yes	yes	no
MGYS00004546	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004382	no	no	no	no	no	no	no	no
MGYS00001028	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004491	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001169	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002053	yes	no	no	no	yes	no	no	no
MGYS00003916	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005744	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001051	no	no	no	no	no	no	no	no
MGYS00001001	no	yes	yes	yes	no	yes	no	no
MGYS00006040	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001083	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000934	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000952	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001014	yes	no	yes	yes	yes	yes	yes	no
MGYS00001048	yes	yes	no	yes	yes	yes	yes	no
MGYS00002441	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001611	no	no	no	no	yes	no	no	no
MGYS00005502	yes	no	yes	yes	yes	yes	yes	no
MGYS00003793	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005297	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003922	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000924	yes	yes	no	yes	yes	yes	yes	no
MGYS00001330	yes	no	no	no	no	no	no	no
MGYS00003853	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005622	no	yes	no	no	yes	no	no	no
MGYS00005157	no	no	no	yes	no	no	no	no
MGYS00000992	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003772	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005521	yes	no	no	no	yes	no	no	no
MGYS00005511	no	no	yes	no	no	no	no	no
MGYS00000951	no	no	no	no	no	no	no	no
MGYS00003067	no	no	no	no	yes	no	no	no
MGYS00001038	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001005	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002116	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001161	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002110	yes	yes	no	yes	no	yes	no	no
MGYS00000971	yes	yes	yes	no	yes	yes	yes	no
MGYS00001060	no	no	yes	no	yes	no	no	no
MGYS00001037	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002303	yes	yes	yes	no	yes	yes	yes	no
MGYS00005186	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005315	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001023	yes	no	yes	no	no	no	no	no
MGYS00003933	no	yes	yes	yes	yes	yes	yes	no
MGYS00001597	yes	yes	yes	no	yes	yes	yes	no
MGYS00001972	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000926	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001100	yes	yes	yes	no	no	yes	no	no
MGYS00005571	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000945	yes	yes	yes	no	yes	yes	yes	no
MGYS00001009	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005241	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001033	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001035	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001158	no	no	no	no	yes	no	no	no
MGYS00001049	yes	no	no	yes	yes	yes	no	no
MGYS00003066	no	no	no	no	no	no	no	no
MGYS00004610	N/A	no	yes	no	yes	no	no	no
MGYS00001031	no	no	no	no	no	no	no	no
MGYS00001909	yes	no	yes	no	yes	yes	no	no
MGYS00003981	yes	yes	no	yes	yes	yes	yes	no
MGYS00003717	yes	no	yes	no	yes	yes	no	no
MGYS00001057	no	no	no	yes	no	no	no	no
MGYS00001911	no	no	no	no	yes	no	no	no
MGYS00003807	no	no	no	no	no	no	no	no
MGYS00001024	yes	yes	yes	no	yes	yes	yes	no
MGYS00002314	no	yes	no	no	no	no	no	no
MGYS00000959	no	no	yes	no	no	no	no	no
MGYS00001027	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003785	yes	no	yes	yes	no	yes	no	no
MGYS00001284	no	yes	no	no	no	no	no	no
MGYS00003918	no	no	no	no	yes	no	no	no
MGYS00001025	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005536	yes	yes	no	no	yes	yes	no	no
MGYS00001293	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002254	no	yes	no	yes	no	no	no	no
MGYS00001026	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001006	yes	no	no	no	no	no	no	no
MGYS00001198	no	no	no	no	no	no	no	no
MGYS00003931	no	no	no	no	no	no	no	no
MGYS00005093	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000981	yes	no	no	yes	yes	yes	no	no
MGYS00002115	yes	yes	yes	yes	no	yes	yes	no
MGYS00000989	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000936	no	yes	yes	no	N/A	no	no	no
MGYS00003870	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003858	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003754	no	no	yes	no	yes	no	no	no
MGYS00005572	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003691	yes	yes	no	yes	no	yes	no	no
MGYS00001353	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000965	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002190	no	no	no	no	no	no	no	no
MGYS00004602	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002429	no	no	no	no	no	no	no	no
MGYS00000975	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005185	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000998	no	yes	yes	yes	yes	yes	yes	no
MGYS00000994	no	no	yes	yes	yes	yes	no	no
MGYS00000963	yes	yes	yes	yes	no	yes	yes	no
MGYS00002018	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000933	yes	yes	yes	yes	no	yes	yes	no
MGYS00001619	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00006001	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005725	no	yes	yes	yes	yes	yes	yes	no
MGYS00002386	yes	no	no	no	no	no	no	no
MGYS00000961	no	no	no	no	yes	no	no	no
MGYS00001606	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005208	no	no	no	yes	yes	no	no	no
MGYS00000982	no	yes	yes	yes	yes	yes	yes	no
MGYS00000929	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001202	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003759	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002679	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000925	yes	yes	yes	yes	no	yes	yes	no
MGYS00000978	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005096	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005053	no	yes	no	no	no	no	no	no
MGYS00005092	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000939	yes	no	yes	yes	yes	yes	yes	no
MGYS00000947	no	yes	no	yes	yes	yes	no	no
MGYS00003688	yes	no	no	no	no	no	no	no
MGYS00005077	yes	yes	no	yes	yes	yes	yes	no
MGYS00001045	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003920	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001039	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001008	no	no	no	yes	no	no	no	no
MGYS00005078	no	yes	yes	yes	yes	yes	yes	no
MGYS00003786	no	no	no	no	yes	no	no	no
MGYS00005313	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005091	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002054	yes	yes	no	yes	yes	yes	yes	no
MGYS00000935	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001627	yes	yes	yes	no	yes	yes	yes	no
MGYS00001042	no	no	yes	no	yes	no	no	no
MGYS00000923	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001065	yes	yes	no	no	yes	yes	no	no
MGYS00005624	no	no	no	no	no	no	no	no
MGYS00005243	yes	yes	no	no	yes	yes	no	no
MGYS00000977	no	no	no	no	no	no	no	no
MGYS00001762	no	yes	yes	yes	yes	yes	yes	no
MGYS00002048	yes	yes	yes	yes	no	yes	yes	no
MGYS00006118	no	no	no	no	no	no	no	no
