Study_id	CC_related
MGYS00004129	no
MGYS00004130	no
MGYS00004131	no
MGYS00004132	no
MGYS00004133	no
MGYS00004134	no
MGYS00004135	no
MGYS00004136	no
MGYS00004137	no
MGYS00004138	no
MGYS00004139	yes
MGYS00004140	no
MGYS00004144	no
MGYS00004146	no
MGYS00004148	no
MGYS00004149	no
MGYS00004150	no
MGYS00004151	no
MGYS00004152	no
MGYS00004153	no
MGYS00004154	no
MGYS00004155	no
MGYS00004156	no
MGYS00004160	no
MGYS00004161	no
MGYS00004163	no
MGYS00004164	no
MGYS00004165	no
MGYS00004167	no
MGYS00004168	no
MGYS00004169	no
MGYS00004171	no
MGYS00004173	no
MGYS00004174	no
MGYS00004175	no
MGYS00004177	no
MGYS00004179	no
MGYS00004180	no
MGYS00004181	no
MGYS00004182	no
MGYS00004185	no
MGYS00004189	no
MGYS00004190	no
MGYS00004192	no
MGYS00004193	no
MGYS00004194	no
MGYS00004195	no
MGYS00004196	no
MGYS00004199	no
MGYS00004200	no
MGYS00004201	no
MGYS00004202	no
MGYS00004203	no
MGYS00004205	no
MGYS00004206	no
MGYS00004207	no
MGYS00004208	no
MGYS00004209	no
MGYS00004210	no
MGYS00004211	no
MGYS00004213	no
MGYS00004214	no
MGYS00004215	no
MGYS00004216	no
MGYS00004217	no
MGYS00004218	no
MGYS00004220	no
MGYS00004222	no
MGYS00004224	yes
MGYS00004226	no
MGYS00004227	no
MGYS00004228	no
MGYS00004229	no
MGYS00004230	no
MGYS00004233	no
MGYS00004234	no
MGYS00004236	no
MGYS00004238	no
MGYS00004239	yes
MGYS00004240	no
MGYS00004241	no
MGYS00004242	no
MGYS00004244	no
MGYS00004246	no
MGYS00004249	no
MGYS00004250	no
MGYS00004251	no
MGYS00004252	yes
MGYS00004254	no
MGYS00004255	no
MGYS00004257	no
MGYS00004258	no
MGYS00004260	no
MGYS00004261	no
MGYS00004267	no
MGYS00004272	no
MGYS00004276	no
MGYS00004277	no
MGYS00004278	no
MGYS00004281	no
MGYS00004285	no
MGYS00004286	no
MGYS00004287	no
MGYS00004292	no
MGYS00004293	no
MGYS00004297	no
MGYS00004299	no
MGYS00004300	yes
MGYS00004302	no
MGYS00004303	no
MGYS00004304	no
MGYS00004306	no
MGYS00004307	no
MGYS00004308	no
MGYS00004310	no
MGYS00004312	no
MGYS00004314	no
MGYS00004315	no
MGYS00004318	no
MGYS00004321	no
MGYS00004322	no
MGYS00004323	no
MGYS00004324	no
MGYS00004326	no
MGYS00004327	no
MGYS00004328	no
MGYS00004331	no
MGYS00004334	no
MGYS00004335	no
MGYS00004340	no
MGYS00004341	no
MGYS00004345	no
MGYS00004347	no
MGYS00004348	no
MGYS00004349	no
MGYS00004351	no
MGYS00004352	no
MGYS00004353	no
MGYS00004354	no
MGYS00004357	no
MGYS00004360	no
MGYS00004361	no
MGYS00004362	no
MGYS00004363	no
MGYS00004364	yes
MGYS00004365	no
MGYS00004366	no
MGYS00004367	no
MGYS00004368	no
MGYS00004370	no
MGYS00004372	no
MGYS00004374	no
MGYS00004375	no
MGYS00004376	no
MGYS00004377	no
MGYS00004379	no
MGYS00004381	no
MGYS00004383	no
MGYS00004384	no
MGYS00004385	yes
MGYS00004388	no
MGYS00004389	no
MGYS00004390	no
MGYS00004391	no
MGYS00004392	no
MGYS00004393	no
MGYS00004394	no
MGYS00004395	no
MGYS00004396	no
MGYS00004397	no
MGYS00004400	no
MGYS00004401	no
MGYS00004402	no
MGYS00004404	no
MGYS00004405	no
MGYS00004408	no
MGYS00004409	no
MGYS00004410	no
MGYS00004411	no
MGYS00004412	no
MGYS00004414	no
MGYS00004415	no
MGYS00004416	no
MGYS00004418	no
MGYS00004419	no
MGYS00004420	no
MGYS00004422	no
MGYS00004425	no
MGYS00004428	no
MGYS00004430	no
MGYS00004432	no
MGYS00004433	no
MGYS00004434	no
MGYS00004435	no
MGYS00004436	no
MGYS00004439	no
MGYS00004440	no
MGYS00004441	no
MGYS00004442	no
MGYS00004443	no
MGYS00004444	no
MGYS00004445	no
MGYS00004446	no
MGYS00004449	no
MGYS00004454	no
MGYS00004455	no
MGYS00004456	no
MGYS00004457	no
MGYS00004459	no
MGYS00004460	no
MGYS00004462	yes
MGYS00004463	no
MGYS00004464	no
MGYS00004465	no
MGYS00004466	no
MGYS00004467	no
MGYS00004468	no
MGYS00004475	no
MGYS00004476	no
MGYS00004477	no
MGYS00004478	no
MGYS00004480	no
MGYS00004481	no
MGYS00004484	no
MGYS00004485	no
MGYS00004486	no
MGYS00004487	yes
MGYS00004488	no
MGYS00004490	no
MGYS00004493	no
MGYS00004495	no
MGYS00004496	no
MGYS00004500	no
MGYS00004501	no
MGYS00004502	no
MGYS00004503	no
MGYS00004504	no
MGYS00004505	no
MGYS00004506	no
MGYS00004507	no
MGYS00004508	no
MGYS00004510	no
MGYS00004511	no
MGYS00004513	yes
MGYS00004517	no
MGYS00004518	no
MGYS00004519	yes
MGYS00004520	no
MGYS00004524	no
MGYS00004526	no
MGYS00004528	no
MGYS00004529	no
MGYS00004530	no
MGYS00004531	no
MGYS00004532	no
MGYS00004534	no
MGYS00004535	no
MGYS00004539	no
MGYS00004540	no
MGYS00004542	no
MGYS00004544	no
MGYS00004548	no
MGYS00004549	no
MGYS00004550	no
MGYS00004552	no
MGYS00004553	no
MGYS00004555	no
MGYS00004559	no
MGYS00004560	no
MGYS00004561	no
MGYS00004562	no
MGYS00004563	no
MGYS00004564	no
MGYS00004565	no
MGYS00004567	no
MGYS00004568	no
MGYS00004569	no
MGYS00004570	no
MGYS00004571	no
MGYS00004573	no
MGYS00004574	yes
MGYS00004575	yes
MGYS00004576	no
MGYS00004577	no
MGYS00004580	no
MGYS00004582	no
MGYS00004584	no
MGYS00004585	no
MGYS00004588	no
MGYS00004589	no
MGYS00004592	no
MGYS00004593	no
MGYS00004594	yes
MGYS00004596	no
MGYS00004597	no
MGYS00004598	no
MGYS00004599	no
MGYS00004604	no
MGYS00004605	no
MGYS00004606	no
MGYS00004608	no
MGYS00004609	no
MGYS00004611	no
MGYS00004612	no
MGYS00004613	no
MGYS00004614	no
MGYS00004615	yes
MGYS00004616	no
MGYS00004617	no
MGYS00004619	no
MGYS00004621	no
MGYS00004622	no
MGYS00004623	no
MGYS00004624	no
MGYS00004625	no
MGYS00004626	no
MGYS00004627	no
MGYS00004628	no
MGYS00004629	no
MGYS00004630	no
MGYS00004631	no
MGYS00004634	no
MGYS00004636	no
MGYS00004637	no
MGYS00004638	no
MGYS00004641	no
MGYS00004642	no
MGYS00004643	no
MGYS00004644	no
MGYS00004645	no
MGYS00004647	no
MGYS00004648	no
MGYS00004649	no
MGYS00004651	no
MGYS00004654	no
MGYS00004656	no
MGYS00004658	no
MGYS00004659	no
MGYS00004660	no
MGYS00004661	no
MGYS00004662	no
MGYS00004664	no
MGYS00004665	no
MGYS00004666	no
MGYS00004668	no
MGYS00004670	no
MGYS00004671	no
MGYS00004672	no
MGYS00004673	no
MGYS00004674	no
MGYS00004676	no
MGYS00004677	no
MGYS00004678	no
MGYS00004679	no
MGYS00004680	no
MGYS00004681	no
MGYS00004687	no
MGYS00004689	no
MGYS00004691	no
MGYS00004692	no
MGYS00004696	no
MGYS00004702	no
MGYS00004709	no
MGYS00004713	no
MGYS00004716	no
MGYS00004732	no
MGYS00004735	no
MGYS00004738	no
MGYS00004741	no
MGYS00004742	no
MGYS00004743	no
MGYS00004772	no
MGYS00004773	no
MGYS00004839	no
MGYS00004840	no
MGYS00004841	no
MGYS00004842	no
MGYS00004843	no
MGYS00004844	no
MGYS00004845	no
MGYS00004846	no
MGYS00004847	no
MGYS00004848	no
MGYS00004849	no
MGYS00004851	no
MGYS00004852	no
MGYS00004853	no
MGYS00004854	no
MGYS00004855	no
MGYS00004856	no
MGYS00004857	no
MGYS00004858	no
MGYS00004859	no
MGYS00004860	no
MGYS00004862	no
MGYS00004864	no
MGYS00004865	no
MGYS00004866	no
MGYS00004867	no
MGYS00004868	no
MGYS00004871	no
MGYS00004873	no
MGYS00004874	no
MGYS00004875	no
MGYS00004876	no
MGYS00004877	no
MGYS00004879	no
MGYS00004880	no
MGYS00004881	no
MGYS00004883	no
MGYS00004884	no
MGYS00004885	no
MGYS00004886	no
MGYS00004888	no
MGYS00004889	no
MGYS00004890	no
MGYS00004891	no
MGYS00004892	no
MGYS00004982	no
MGYS00005000	no
MGYS00005003	no
MGYS00005008	no
MGYS00005022	no
MGYS00005024	no
MGYS00005027	no
MGYS00005032	no
MGYS00005045	no
MGYS00005052	no
MGYS00005054	no
MGYS00005075	no
MGYS00005082	no
MGYS00005097	no
MGYS00005110	no
MGYS00005115	no
MGYS00005123	no
MGYS00005136	no
MGYS00005140	no
MGYS00005141	no
MGYS00005148	no
MGYS00005149	no
MGYS00005175	no
MGYS00005200	no
MGYS00005245	no
MGYS00005250	no
MGYS00005263	no
MGYS00005265	no
MGYS00005294	no
MGYS00005295	no
MGYS00005300	no
MGYS00005308	no
MGYS00005312	no
MGYS00005318	no
MGYS00005334	no
MGYS00005337	no
MGYS00005363	no
MGYS00005366	no
MGYS00005367	no
MGYS00005395	no
MGYS00005396	no
MGYS00005403	no
MGYS00005404	no
MGYS00005405	no
MGYS00005413	no
MGYS00005416	no
MGYS00005417	no
MGYS00005419	no
MGYS00005420	no
MGYS00005427	no
MGYS00005439	no
MGYS00005440	no
MGYS00005467	no
MGYS00005471	no
MGYS00005487	no
MGYS00005494	no
MGYS00005496	no
MGYS00005497	no
MGYS00005510	no
MGYS00005517	no
MGYS00005530	no
MGYS00005534	no
MGYS00005575	no
MGYS00005580	no
MGYS00005581	no
MGYS00005582	no
MGYS00005595	no
MGYS00005629	no
MGYS00005632	no
MGYS00005634	no
MGYS00005636	no
MGYS00005638	no
MGYS00005640	no
MGYS00005644	no
MGYS00005646	no
MGYS00005653	no
MGYS00005654	no
MGYS00005665	no
MGYS00005666	no
MGYS00005669	no
MGYS00005670	no
MGYS00005673	no
MGYS00005675	no
MGYS00005677	no
MGYS00005678	no
MGYS00005686	no
MGYS00005687	no
MGYS00005688	no
MGYS00005689	no
MGYS00005695	no
MGYS00005696	no
MGYS00005704	no
MGYS00005705	no
MGYS00005709	no
MGYS00005710	no
MGYS00005713	no
MGYS00005714	no
MGYS00005715	yes
MGYS00005716	no
MGYS00005717	no
MGYS00005720	no
MGYS00005722	no
MGYS00005724	no
MGYS00005734	yes
MGYS00005743	no
MGYS00005773	no
MGYS00005777	no
MGYS00005780	no
MGYS00005829	no
MGYS00005832	no
MGYS00005834	no
MGYS00005835	no
MGYS00005842	no
MGYS00005850	no
MGYS00005851	no
MGYS00005856	no
MGYS00005857	no
MGYS00005858	no
MGYS00005859	no
MGYS00005863	no
MGYS00005864	no
MGYS00005865	no
MGYS00005869	no
MGYS00005924	no
MGYS00005931	no
MGYS00005935	no
MGYS00005939	no
MGYS00005941	no
MGYS00005945	no
MGYS00005947	no
MGYS00005949	no
MGYS00005951	no
MGYS00005953	no
MGYS00005957	no
MGYS00005961	no
MGYS00005962	no
MGYS00005964	no
MGYS00005968	no
MGYS00005969	no
MGYS00005981	no
MGYS00005982	no
MGYS00005987	no
MGYS00005988	no
MGYS00005989	no
MGYS00005990	no
MGYS00005991	no
MGYS00006028	no
MGYS00006030	no
MGYS00006034	no
MGYS00006035	no
MGYS00006039	no
MGYS00006057	no
MGYS00006058	no
MGYS00006061	no
MGYS00006072	no
MGYS00006213	no
MGYS00000921	no
MGYS00000922	yes
MGYS00000923	no
MGYS00000924	no
MGYS00000925	no
MGYS00000926	no
MGYS00000929	no
MGYS00000932	no
MGYS00000933	no
MGYS00000934	no
MGYS00000935	yes
MGYS00000936	no
MGYS00000939	no
MGYS00000944	no
MGYS00000945	yes
MGYS00000946	no
MGYS00000947	no
MGYS00000948	no
MGYS00000950	no
MGYS00000951	no
MGYS00000952	no
MGYS00000953	no
MGYS00000954	no
MGYS00000956	no
MGYS00000958	no
MGYS00000959	no
MGYS00000961	no
MGYS00000963	no
MGYS00000965	no
MGYS00000966	no
MGYS00000971	no
MGYS00000972	no
MGYS00000975	no
MGYS00000977	no
MGYS00000978	no
MGYS00000980	no
MGYS00000981	no
MGYS00000982	no
MGYS00000986	no
MGYS00000988	no
MGYS00000989	no
MGYS00000992	no
MGYS00000994	no
MGYS00000998	no
MGYS00001001	no
MGYS00001003	no
MGYS00001004	no
MGYS00001005	yes
MGYS00001006	no
MGYS00001008	no
MGYS00001009	no
MGYS00001011	no
MGYS00001014	no
MGYS00001017	yes
MGYS00001022	no
MGYS00001023	no
MGYS00001024	no
MGYS00001025	no
MGYS00001026	yes
MGYS00001027	yes
MGYS00001028	no
MGYS00001031	no
MGYS00001032	no
MGYS00001033	no
MGYS00001034	no
MGYS00001035	no
MGYS00001036	no
MGYS00001037	no
MGYS00001038	yes
MGYS00001039	no
MGYS00001041	no
MGYS00001042	no
MGYS00001044	no
MGYS00001045	no
MGYS00001046	no
MGYS00001048	no
MGYS00001049	no
MGYS00001050	no
MGYS00001051	no
MGYS00001052	no
MGYS00001053	no
MGYS00001054	no
MGYS00001057	no
MGYS00001058	no
MGYS00001059	no
MGYS00001060	no
MGYS00001061	no
MGYS00001062	no
MGYS00001065	no
MGYS00001083	no
MGYS00001098	no
MGYS00001100	no
MGYS00001158	no
MGYS00001161	no
MGYS00001169	no
MGYS00001173	no
MGYS00001192	no
MGYS00001198	no
MGYS00001202	no
MGYS00001207	no
MGYS00001253	no
MGYS00001263	no
MGYS00001284	no
MGYS00001289	no
MGYS00001293	no
MGYS00001328	no
MGYS00001330	no
MGYS00001331	no
MGYS00001352	no
MGYS00001353	no
MGYS00001354	no
MGYS00001355	no
MGYS00001356	no
MGYS00001421	no
MGYS00001426	no
MGYS00001447	no
MGYS00001448	no
MGYS00001597	no
MGYS00001599	no
MGYS00001606	no
MGYS00001611	no
MGYS00001619	yes
MGYS00001627	no
MGYS00001761	no
MGYS00001762	no
MGYS00001909	no
MGYS00001911	no
MGYS00001972	no
MGYS00002001	no
MGYS00002018	no
MGYS00002032	no
MGYS00002048	no
MGYS00002053	no
MGYS00002054	no
MGYS00002110	no
MGYS00002115	no
MGYS00002116	no
MGYS00002190	no
MGYS00002254	no
MGYS00002294	no
MGYS00002303	no
MGYS00002314	no
MGYS00002386	no
MGYS00002391	no
MGYS00002428	no
MGYS00002429	no
MGYS00002441	yes
MGYS00002679	no
MGYS00002700	no
MGYS00002702	no
MGYS00002715	no
MGYS00003066	no
MGYS00003067	no
MGYS00003688	no
MGYS00003691	no
MGYS00003717	no
MGYS00003727	no
MGYS00003754	no
MGYS00003759	yes
MGYS00003772	yes
MGYS00003785	no
MGYS00003786	no
MGYS00003793	no
MGYS00003807	no
MGYS00003812	no
MGYS00003813	no
MGYS00003853	yes
MGYS00003858	no
MGYS00003870	no
MGYS00003912	no
MGYS00003915	no
MGYS00003916	no
MGYS00003917	no
MGYS00003918	no
MGYS00003919	no
MGYS00003920	no
MGYS00003922	no
MGYS00003931	no
MGYS00003933	no
MGYS00003981	no
MGYS00004294	no
MGYS00004296	no
MGYS00004382	no
MGYS00004491	no
MGYS00004541	no
MGYS00004546	no
MGYS00004602	no
MGYS00004610	no
MGYS00004650	no
MGYS00004688	no
MGYS00005040	no
MGYS00005053	no
MGYS00005077	no
MGYS00005078	no
MGYS00005091	no
MGYS00005092	no
MGYS00005093	no
MGYS00005096	no
MGYS00005157	no
MGYS00005165	no
MGYS00005171	no
MGYS00005174	no
MGYS00005185	no
MGYS00005186	no
MGYS00005205	no
MGYS00005208	no
MGYS00005241	no
MGYS00005243	no
MGYS00005297	no
MGYS00005313	no
MGYS00005315	yes
MGYS00005385	no
MGYS00005502	no
MGYS00005511	no
MGYS00005521	no
MGYS00005522	no
MGYS00005536	no
MGYS00005547	yes
MGYS00005571	yes
MGYS00005572	no
MGYS00005622	no
MGYS00005624	no
MGYS00005725	no
MGYS00005744	no
MGYS00005779	no
MGYS00005819	no
MGYS00005993	no
MGYS00005994	no
MGYS00006001	no
MGYS00006040	no
MGYS00006044	no
MGYS00006087	no
MGYS00006118	no
MGYS00006214	no
